"","Datum","mTemp","mWind","mRegen","mSonne","Oil","month_sin","month_cos","day_of_week_sin","day_of_week_cos","mEURmwh"
"1654",2023-02-20,6.94910179640719,6.36706586826347,0.746706586826347,3.97724550898204,82.79,0.866025403784439,0.5,0.78183148246803,0.623489801858734,61.6901041666667
"1655",2023-02-20,6.94910179640719,6.36706586826347,0.746706586826347,3.97724550898204,82.79,0.866025403784439,0.5,0.78183148246803,0.623489801858734,61.4170833333333
"1656",2023-02-21,7.44910179640719,3.99760479041916,0.347305389221557,3.83532934131737,82.14,0.866025403784439,0.5,0.974927912181824,-0.222520933956314,121.675625
"1657",2023-02-21,7.44910179640719,3.99760479041916,0.347305389221557,3.83532934131737,82.14,0.866025403784439,0.5,0.974927912181824,-0.222520933956314,122.445833333333
"1658",2023-02-22,6.88734939759036,2.44879518072289,0.562650602409639,3.75421686746988,79.55,0.866025403784439,0.5,0.433883739117558,-0.900968867902419,148.732395833333
"1659",2023-02-22,6.88734939759036,2.44879518072289,0.562650602409639,3.75421686746988,79.55,0.866025403784439,0.5,0.433883739117558,-0.900968867902419,148.647916666667
"1660",2023-02-23,6.57904191616766,2.58502994011976,1.42095808383234,0.677844311377246,82.08,0.866025403784439,0.5,-0.433883739117558,-0.900968867902419,146.151770833333
"1661",2023-02-23,6.57904191616766,2.58502994011976,1.42095808383234,0.677844311377246,82.08,0.866025403784439,0.5,-0.433883739117558,-0.900968867902419,146.120416666667
"1662",2023-02-24,4.16347305389222,4.62275449101796,5.03053892215569,0.662275449101796,82.31,0.866025403784439,0.5,-0.974927912181824,-0.222520933956315,118.853333333333
"1663",2023-02-24,4.16347305389222,4.62275449101796,5.03053892215569,0.662275449101796,82.31,0.866025403784439,0.5,-0.974927912181824,-0.222520933956315,118.3025
"1664",2023-02-25,1.13674698795181,5.49578313253012,2.25240963855422,1.76265060240964,82.31,0.866025403784439,0.5,-0.78183148246803,0.623489801858733,88.9898958333333
"1665",2023-02-25,1.13674698795181,5.49578313253012,2.25240963855422,1.76265060240964,82.31,0.866025403784439,0.5,-0.78183148246803,0.623489801858733,89.2904166666667
"1666",2023-02-26,-1.20060240963855,4.4710843373494,0.296385542168675,4.1078313253012,82.31,0.866025403784439,0.5,-2.44921270764475e-16,1,109.5559375
"1667",2023-02-26,-1.20060240963855,4.4710843373494,0.296385542168675,4.1078313253012,82.31,0.866025403784439,0.5,-2.44921270764475e-16,1,109.822083333333
"1668",2023-02-27,-1.00538922155689,3.62694610778443,0.0688622754491018,4.46167664670659,81.24,0.866025403784439,0.5,0.78183148246803,0.623489801858734,152.102916666667
"1669",2023-02-27,-1.00538922155689,3.62694610778443,0.0688622754491018,4.46167664670659,81.24,0.866025403784439,0.5,0.78183148246803,0.623489801858734,152.274583333333
"1670",2023-02-28,-0.57030303030303,3.14484848484849,0.00121212121212121,8.02121212121212,83.21,0.866025403784439,0.5,0.974927912181824,-0.222520933956314,148.12125
"1671",2023-02-28,-0.57030303030303,3.14484848484849,0.00121212121212121,8.02121212121212,83.21,0.866025403784439,0.5,0.974927912181824,-0.222520933956314,148.045
"1672",2023-03-01,0.21890243902439,3.18109756097561,0.000609756097560976,8.25914634146342,83.68,1,6.12303176911189e-17,0.433883739117558,-0.900968867902419,143.0790625
"1673",2023-03-01,0.21890243902439,3.18109756097561,0.000609756097560976,8.25914634146342,83.68,1,6.12303176911189e-17,0.433883739117558,-0.900968867902419,142.968333333333
"1674",2023-03-02,1.38827160493827,2.97901234567901,0.00246913580246914,6.49753086419753,84.15,1,6.12303176911189e-17,-0.433883739117558,-0.900968867902419,144.219270833333
"1675",2023-03-02,1.38827160493827,2.97901234567901,0.00246913580246914,6.49753086419753,84.15,1,6.12303176911189e-17,-0.433883739117558,-0.900968867902419,144.306666666667
"1676",2023-03-03,1.25575757575758,2.9430303030303,0.00181818181818182,3.51090909090909,85.74,1,6.12303176911189e-17,-0.974927912181824,-0.222520933956315,137.162395833333
"1677",2023-03-03,1.25575757575758,2.9430303030303,0.00181818181818182,3.51090909090909,85.74,1,6.12303176911189e-17,-0.974927912181824,-0.222520933956315,136.76375
"1678",2023-03-04,1.97590361445783,4.29698795180723,0.227710843373494,1.8078313253012,85.74,1,6.12303176911189e-17,-0.78183148246803,0.623489801858733,107.390625
"1679",2023-03-04,1.97590361445783,4.29698795180723,0.227710843373494,1.8078313253012,85.74,1,6.12303176911189e-17,-0.78183148246803,0.623489801858733,107.471666666667
"1680",2023-03-05,1.39457831325301,3.6578313253012,1.06807228915663,1.18493975903614,85.74,1,6.12303176911189e-17,-2.44921270764475e-16,1,121.570833333333
"1681",2023-03-05,1.39457831325301,3.6578313253012,1.06807228915663,1.18493975903614,85.74,1,6.12303176911189e-17,-2.44921270764475e-16,1,121.786666666667
"1682",2023-03-06,0.966265060240964,3.38012048192771,1.27771084337349,1.74156626506024,85.86,1,6.12303176911189e-17,0.78183148246803,0.623489801858734,150.897395833333
"1683",2023-03-06,0.966265060240964,3.38012048192771,1.27771084337349,1.74156626506024,85.86,1,6.12303176911189e-17,0.78183148246803,0.623489801858734,150.672916666667
"1684",2023-03-07,1.80898203592814,5.90059880239521,2.79700598802395,2.07964071856287,83.03,1,6.12303176911189e-17,0.974927912181824,-0.222520933956314,106.7959375
"1685",2023-03-07,1.80898203592814,5.90059880239521,2.79700598802395,2.07964071856287,83.03,1,6.12303176911189e-17,0.974927912181824,-0.222520933956314,106.867916666667
"1686",2023-03-08,1.7748502994012,3.78323353293413,9.86526946107784,0.755688622754491,82.1,1,6.12303176911189e-17,0.433883739117558,-0.900968867902419,138.853854166667
"1687",2023-03-08,1.7748502994012,3.78323353293413,9.86526946107784,0.755688622754491,82.1,1,6.12303176911189e-17,0.433883739117558,-0.900968867902419,138.890416666667
"1688",2023-03-09,4.40838323353293,4.47784431137725,5.46467065868263,1.5059880239521,81,1,6.12303176911189e-17,-0.433883739117558,-0.900968867902419,127.296041666667
"1689",2023-03-09,4.40838323353293,4.47784431137725,5.46467065868263,1.5059880239521,81,1,6.12303176911189e-17,-0.433883739117558,-0.900968867902419,127.199166666667
"1690",2023-03-10,4.66347305389222,6.1622754491018,7.43413173652695,0.960479041916168,82.3,1,6.12303176911189e-17,-0.974927912181824,-0.222520933956315,115.8440625
"1691",2023-03-10,4.66347305389222,6.1622754491018,7.43413173652695,0.960479041916168,82.3,1,6.12303176911189e-17,-0.974927912181824,-0.222520933956315,115.61375
"1692",2023-03-11,0.363473053892216,4.72934131736527,0.440718562874251,4.58862275449102,82.3,1,6.12303176911189e-17,-0.78183148246803,0.623489801858733,98.3870833333333
"1693",2023-03-11,0.363473053892216,4.72934131736527,0.440718562874251,4.58862275449102,82.3,1,6.12303176911189e-17,-0.78183148246803,0.623489801858733,98.605
"1694",2023-03-12,2.52710843373494,3.98915662650602,1.97048192771084,1.54036144578313,82.3,1,6.12303176911189e-17,-2.44921270764475e-16,1,95.82375
"1695",2023-03-12,2.52710843373494,3.98915662650602,1.97048192771084,1.54036144578313,82.3,1,6.12303176911189e-17,-2.44921270764475e-16,1,95.5325
"1696",2023-03-13,10.2596385542169,6.34698795180723,6.66084337349398,2.53373493975904,79.67,1,6.12303176911189e-17,0.78183148246803,0.623489801858734,37.7353125
"1697",2023-03-13,10.2596385542169,6.34698795180723,6.66084337349398,2.53373493975904,79.67,1,6.12303176911189e-17,0.78183148246803,0.623489801858734,37.1433333333333
"1698",2023-03-14,6.70179640718563,6.52275449101796,5.59820359281437,1.37784431137725,76.77,1,6.12303176911189e-17,0.974927912181824,-0.222520933956314,70.6254166666667
"1699",2023-03-14,6.70179640718563,6.52275449101796,5.59820359281437,1.37784431137725,76.77,1,6.12303176911189e-17,0.974927912181824,-0.222520933956314,71.4795833333333
"1700",2023-03-15,1.55688622754491,4.01736526946108,0.767065868263473,5.26826347305389,74.3,1,6.12303176911189e-17,0.433883739117558,-0.900968867902419,127.4921875
